Country, Planes
United States,13247
Russia,4173
China,3285
India,2182
South Korea,1595
Japan,1449
Pakistan,1387
Egypt,1062
Turkey,1057
France,1055
North Korea,946
Saudi Arabia,897
Italy,862
Taiwan,741
The UK,693
Brazil,679
Greece,633
Germany,617
Israel,597
United Arab Emirates,554
Algeria,552
Iran,543
Spain,503
Mexico,469
Thailand,469
Colombia,454
Poland,452
Syria,452
Indonesia,445
Australia,430
Canada,380
Iraq,361
Ukraine,318
Angola,299
Chile,290
Myanmar,280
Venezuela,256
Jordan,255
Morocco,249
Singapore,244
Peru,243
Kazakhstan,237
South Africa,225
Argentina,218
Vietnam,218
Sweden,204
Belarus,201
Uzbekistan,200
Finland,192
Sudan,192
Bangladesh,190
Philippines,182
Yemen,177
Qatar,165
Norway,161
Switzerland,158
Netherlands,156
Kenya,151
Tunisia,151
Azerbaijan,149
Romania,147
Malaysia,144
Nigeria,140
Oman,128
Libya,127
Serbia,117
Belgium,115
Denmark,115
Ecuador,113
Bahrain,110
Austria,102
Kuwait,99
Portugal,97
Zambia,97
Czech Republic,92
Ethioopia,90
Zimbabwe,90
Sri Lanka,86
Turkmenistan,82
Cuba,80
Croatia,78
Lebanon,76
Bulgaria,66
Georgia,66
Dominican Republic,65
Armenia,64
Bolivia,63
Hungary,55
Slovakia,50
Uruguay,50
Uganda,49
El Salvador,47
New Zealand,47
Botswana,46
Democratic Republic of Congo,46
Honduras,44
Paraguay,41
Panama,39
Slovenia,37
Tanzania,37
Chad,35
Eritrea,33
Guatemala,33
Laos,32
Cameroon,31
Namibia,30
Mali,29
Mauritania,25
Tajikistan,25
Cambodia,23
Gabon,23
Ireland,23
Moldova,21
Ghana,20
North Macedonia,20
Albania,19
Bosnia and Herzegovina,19
Burkina Faso,18
Mozambique,18
South Sudan,18
Nicaragua,17
Niger,16
Nepal,14
Republic of the Congo,13
Mongolia,11
Montenegro,11
Lithuania,10
Estonia,6
Kyrgystan,6
Ivory Coast,5
Madagascar,5
Latvia,4
Sierra Leone,4
Central African Republic,3
Suriname,3
Bhutan,2
Luxembourg,1
Afghanistan,0
Iceland,0
Kosovo,0
Liberia,0
Somalia,0
